psi,xc,yc,x1,y1,x2,y2
3.115450075263608,53.46146,-4.91094,52.78647,-4.89329,54.13645,-4.92859
3.1139794137270966,53.46207,-4.912335000000001,52.78666,-4.89368,54.13748,-4.93099
3.1124674938069736,53.459465,-4.905665,52.78378,-4.88598,54.13515,-4.92535
3.107726988434481,53.463705,-4.90283,52.79219,-4.88008,54.13522,-4.92558
3.1065892292459787,53.435475,-4.896895000000001,52.75996,-4.87324,54.11099,-4.92055
3.1067726540751712,52.54662,-4.86938,51.85563,-4.84531,53.23761,-4.89345
3.112072779338937,51.199785,-4.838045,50.50537,-4.81754,51.8942,-4.85855
3.1182098426529445,49.86468,-4.7972,49.1737,-4.78104,50.55566,-4.81336
3.127521848827628,48.502855,-4.777955,47.8082,-4.76818,49.19751,-4.78773
3.1331434468335884,47.143895,-4.757325,46.44858,-4.75145,47.83921,-4.7632
3.13493518228496,45.79093,-4.754645,45.09473,-4.75001,46.48713,-4.75928
3.129509125969349,44.4223,-4.7504,43.72469,-4.74197,45.11991,-4.75883
3.1223558837616863,43.06704,-4.742795,42.37808,-4.72954,43.756,-4.75605
3.1068496975234456,41.70046,-4.722785,41.01441,-4.69894,42.38651,-4.74663
3.095751012713008,40.33628,-4.691554999999999,39.6543,-4.66027,41.01826,-4.72284
3.090800267237285,38.96086,-4.64049,38.27375,-4.60556,39.64797,-4.67542
3.083294218418097,37.59059,-4.57499,36.90233,-4.53482,38.27885,-4.61516
3.090012997912384,36.22025,-4.501905000000001,35.52844,-4.46619,36.91206,-4.53762
3.099788886953896,34.84549,-4.424625000000001,34.15134,-4.39559,35.53964,-4.45366
3.111376112152401,33.469350000000006,-4.356785,32.77342,-4.33575,34.16528,-4.37782
3.1235365161172197,32.10663,-4.306760000000001,31.41885,-4.29434,32.79441,-4.31918
3.131337792998281,30.730375,-4.27203,30.04097,-4.26496,31.41978,-4.2791
3.134185652194477,29.356645,-4.24699,28.67217,-4.24192,30.04112,-4.25206
3.1350181695344057,27.977595,-4.229535,27.29238,-4.22503,28.66281,-4.23404
3.1259213170200235,26.601005,-4.217305,25.91031,-4.20648,27.2917,-4.22813
3.1178313151453647,25.22099,-4.20277,24.52924,-4.18633,25.91274,-4.21921
3.0553490395753498,23.8528,-4.18727,23.16021,-4.12739,24.54539,-4.24715
2.917530898079062,22.53637,-4.143625,21.87168,-3.99215,23.20106,-4.2951
2.710410108570016,21.291125,-3.96281,20.67124,-3.67763,21.91101,-4.24799
2.489675381572238,20.180155,-3.61024,19.64319,-3.20041,20.71712,-4.02007
2.2770911584644384,19.23583,-3.09222,18.79439,-2.57477,19.67727,-3.60967
2.062293723160656,18.465065,-2.46146,18.14483,-1.86324,18.7853,-3.05968
1.846159150041764,17.883555,-1.7613150000000002,17.69884,-1.10755,18.06827,-2.41508
1.6333562326558542,17.477985,-1.02692,17.43542,-0.34742,17.52055,-1.70642
1.419806120198322,17.23885,-0.29895,17.34045,0.36882,17.13725,-0.96672
1.2084043605860793,17.143485,0.40656,17.38181,1.03516,16.90516,-0.22204
1.001332674748052,17.184475,1.050365,17.54486,1.61328,16.82409,0.48745
0.8010859700635762,17.332250000000002,1.63492,17.79777,2.11528,16.86673,1.15456
0.6060782197203011,17.57272,2.14366,18.12511,2.52652,17.02033,1.7608
0.410058102643735,17.88433,2.56867,18.50225,2.83728,17.26641,2.30006
0.2143349218851495,18.24954,2.91305,18.90955,3.05672,17.58953,2.76938
0.028142313514134,18.655785,3.16737,19.32826,3.1863,17.98331,3.14844
-0.1624545611118897,19.077245,3.3448450000000003,19.73573,3.23692,18.41876,3.45277
-0.345721075549937,19.52258,3.43684,20.15589,3.20873,18.88927,3.66495
-0.5254852920494911,19.968545,3.444165,20.54972,3.10716,19.38737,3.78117
-0.7074754079298632,20.39508,3.378205,20.91116,2.93688,19.879,3.81953
-0.8908119955807241,20.801975,3.242015,21.2272,2.71616,20.37675,3.76787
-1.0764742710056492,21.17608,3.03089,21.49514,2.43889,20.85702,3.62289
-1.260490965370878,21.500505,2.760435,21.70645,2.11819,21.29456,3.40268
-1.4408436728112088,21.76472,2.443965,21.85217,1.77482,21.67727,3.11311
-1.61319272907432,21.967625,2.085785,21.93894,1.4096,21.99631,2.76197
-1.7953704317353076,22.10596,1.6974550000000002,21.95617,1.04171,22.25575,2.3532
-1.969477037127663,22.16968,1.29875,21.90911,0.68017,22.43025,1.91733
-2.151059188269492,22.166855,0.889035,21.7978,0.32606,22.53591,1.45201
-2.329063090627809,22.08997,0.4879549999999999,21.62582,-0.00209,22.55412,0.978
-2.5044150430735934,21.939905,0.11319,21.39727,-0.28845,22.48254,0.51483
-2.6806954311588447,21.72878,-0.231815,21.1244,-0.53193,22.33316,0.0683
-2.858894173581701,21.462915,-0.53641,20.81519,-0.72456,22.11064,-0.34826
-3.0309549789684533,21.144475,-0.782695,20.47066,-0.85755,21.81829,-0.70784
3.0763465147818443,20.78955,-0.97754,20.11675,-0.93358,21.46235,-1.0215
2.895135199257227,20.40205,-1.106525,19.74834,-0.94207,21.05576,-1.27098
2.7143355555166844,19.996765,-1.15908,19.38724,-0.88156,20.60629,-1.4366
2.5311358969541025,19.591015,-1.14274,19.0412,-0.75809,20.14083,-1.52739
2.351940547598383,19.19493,-1.05644,18.72444,-0.58193,19.66542,-1.53095
2.176510224566631,18.822595,-0.905305,18.4396,-0.35229,19.20559,-1.45832
1.9976432175080912,18.4779,-0.688065,18.2007,-0.07858,18.7551,-1.29755
1.8191564327043008,18.18119,-0.418965,18.01625,0.23144,18.34613,-1.06937
1.6459203028233755,17.933725,-0.105715,17.88311,0.56677,17.98434,-0.7782
1.4636929580524456,17.7471,0.247535,17.8188,0.91442,17.6754,-0.41935
1.2889012381294218,17.623905,0.6249699999999999,17.80994,1.26734,17.43787,-0.0174
1.1065942730517653,17.570735,1.013455,17.86866,1.60848,17.27281,0.41843
0.92565408079802,17.583025,1.407015,17.9835,1.93916,17.18255,0.87487
0.7502460428120024,17.66861,1.79022,18.15666,2.24511,17.18056,1.33533
0.5709379512179648,17.824375,2.15109,18.38809,2.51316,17.26066,1.78902
0.3994678560092969,18.04144,2.46875,18.66302,2.73116,17.41986,2.20634
0.2132151286319271,18.322235,2.7433750000000003,18.98127,2.88606,17.6632,2.60069
0.0390094687624652,18.64284,2.96747,19.31285,2.99362,17.97283,2.94132
-0.1411309749930967,18.99857,3.1282500000000004,19.66202,3.03399,18.33512,3.22251
-0.313285480278556,19.37984,3.219255,20.01723,3.01277,18.74245,3.42574
-0.4794157328323329,19.77053,3.240025,20.36192,2.93258,19.17914,3.54747
