,time,xc,xc_ref,yc,yc_ref,x1,x1_ref,y1,y1_ref,x2,x2_ref,y2,y2_ref,psi,psi_ref,U,U_ref,u,u_ref,v,v_ref,r,r_ref,delta,delta_ref,delta_in,npm,npm_ref,npm_in,error
0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,-3.5,-3.5,0.0,0.0,0.0,0.0,1.17248,1.17248,1.17248,1.17248,0.0,0.0,0.0,0.0,0.6108652381980153,0.6108652381980153,-0.3811221167667228,17.95,17.95,34.27467578756863,0.0
1,1.0,1.1681966365233873,1.1790322526328771,0.0009894557696551352,-0.0112004481383365,4.668196636523385,4.678654574074495,0.0009894557696551352,0.0402155733684014,-2.331803363476613,-2.3205900688087406,0.0009894557696551352,-0.0626164696450745,0.062153164393639986,0.0146908202826624,1.188206694032333,1.183673342113195,1.1878020220680567,1.1832619770729882,-0.031008129809486907,-0.0312037568690756,0.057870912800744106,0.0256625016984914,-0.01619036314422326,0.6108652381980153,-0.7576486085139921,28.269163184348074,17.95,26.311636368073994,0.016309639289644164
2,2.0,2.3789992591413927,2.3688158090011147,0.08739073564981178,-0.0270938347585173,5.878999259141391,5.864121860287876,0.08739073564981178,0.1541121470360812,-1.121000740858612,-1.126490242285647,0.08739073564981178,-0.2082998165531159,0.020410154732288775,0.0517962948838366,1.2230781028509543,1.1937654152036075,1.2213035705102884,1.1918056568027726,0.06586071919065886,-0.0683750169956354,-0.14717665512288314,0.0457803156214188,-0.48488136338791527,0.6108652381980153,0.785398139582499,27.031770239765198,17.95,23.52519680433922,0.11493658911912771
3,3.0,3.603033609972844,3.567098928716857,0.08098967682374952,-0.0272984638852396,7.1030336099728375,7.047127121094904,0.08098967682374952,0.3460696925689306,0.10303360997283742,0.0870707363388101,0.08098967682374952,-0.40066662033941,-0.08291567992654476,0.1068799875282668,1.23249094501224,1.2004880532763007,1.2324860364392047,1.1955849171847384,0.0034784363647729277,-0.1083894453324884,0.006435522516673158,0.06216356119195,0.3180884258439313,0.6108652381980153,0.7853980929004519,24.81519308034018,17.95,22.64311565438284,0.11409479714333705
4,4.0,4.819493804079803,4.768825502398787,-0.019056078710748665,0.0068511610222082,8.319493804079794,8.214399080570526,-0.019056078710748665,0.6216866816330416,1.3194938040797959,1.3232519242270475,-0.019056078710748665,-0.6079843595886253,0.02560988239050991,0.176583559396048,1.1917049240505397,1.2019745109139623,1.1886415299725743,1.1927953184456432,-0.08539285233999824,-0.1482634586842472,0.18674843439304592,0.0753609892025312,0.6134844732734256,0.6108652381980153,-0.6302426149023211,23.442178286145857,17.95,21.899273876994673,0.056907485147556454
5,5.0,5.985126034453126,5.966047121317333,0.04132842331368889,0.0920657015857622,9.485126034453138,9.350324485824927,0.04132842331368889,0.9846275874410376,2.4851260344531205,2.581769756809738,0.04132842331368889,-0.8004961842695133,0.17545369442661318,0.2578659894464685,1.1621965210501526,1.1972180201361795,1.1617216351772106,1.1828161604215672,-0.033220413938812345,-0.1851402667827144,0.05999087726918968,0.085653762517,-0.17270098864602212,0.6108652381980153,0.3230167059108189,22.466876688923865,17.95,21.176250110392772,0.054205869911854956
6,6.0,7.136231720333357,7.1484022636386735,0.24435787390549005,0.2423326111888775,10.63623172033337,10.438747827179355,0.24435787390549005,1.4354906361328268,3.6362317203333485,3.858056700097991,0.24435787390549005,-0.9508254137550716,0.1991291350848177,0.3478765159008071,1.1753084525689188,1.186001869861942,1.1751603985400567,1.1659962813485312,-0.018654661163397458,-0.2169172819242842,0.028766043532093985,0.0930691046679411,0.14065235735237905,0.6108652381980153,0.33960477920775933,21.651045095139978,17.95,20.21423017896797,0.012337901499764286
7,7.0,8.288654586445299,8.30391406243842,0.4728658800165695,0.4676084640583906,11.788654586445322,11.46489311341552,0.4728658800165695,1.9703431177095,4.788654586445287,5.14293501146132,0.4728658800165695,-1.0351261895927186,0.2552235357991699,0.4437759950334179,1.1705273861074044,1.1689214474518037,1.169686983120057,1.1434920984971917,-0.04434775244510375,-0.2424936514371229,0.08155871060931746,0.0977986165094886,0.26641427329058565,0.6108652381980153,0.21928804412147038,20.74280484844555,17.95,19.221365358214264,0.016139765492160806
8,8.0,9.411034081447669,9.420370211212,0.7672885823132558,0.773389012727717,12.911034081447692,12.41635875812986,0.7672885823132558,2.582823351612941,5.911034081447647,6.424381664294138,0.7672885823132558,-1.0360453261575069,0.34691535320657124,0.5433205770361486,1.1498365690885717,1.1474193682453073,1.1486142157640258,1.1171845524298414,-0.053004895605686955,-0.2616675035930055,0.09474978787980255,0.1006485755688724,0.23662481519173767,0.6108652381980153,0.2169340183921116,19.781071674727496,17.95,18.379123481775633,0.0111525140761218
9,9.0,10.480814058440707,10.486257788706462,1.1542618849241486,1.1609740129233543,13.98081405844073,13.283550818523707,1.1542618849241486,3.264578468455777,6.980814058440683,7.688964758889218,1.1542618849241486,-0.9426304426090688,0.43908453892202814,0.6447890367309422,1.1260612032423356,1.1227132115094869,1.1248708237399665,1.08848287940556,-0.051763532975887934,-0.2751181137964688,0.08892982205763307,0.1018327852566812,0.22417785782110988,0.6108652381980153,0.2848557404173404,18.89487140710644,17.95,17.75327745476397,0.008642156066863131
10,10.0,11.489460069043686,11.491410054981142,1.6246997937238608,1.6278276144468649,14.989460069043709,14.060106765485656,1.6246997937238608,4.005178495037124,7.98946006904366,8.922713344476627,1.6246997937238608,-0.7495232661433944,0.5280268297077941,0.7467308330656693,1.0998426879460736,1.0961444339853215,1.0985625095558051,1.0587773695863545,-0.05305045548245143,-0.2837659278504044,0.09069167546527475,0.1018563873575154,0.2625335942241107,0.6108652381980153,0.2825123229905993,18.17324641226808,17.95,17.323076177901275,0.0036858794922690567
11,11.0,12.428865607046841,12.427689833274952,2.1676613006435885,2.168805173218788,15.928865607046864,14.741748111247478,2.1676613006435885,4.794663944391912,8.928865607046815,10.113631555302426,2.1676613006435885,-0.457053597954336,0.6206392137716702,0.8484331113174348,1.0707188574026718,1.0690585000331763,1.0693208605862414,1.029347436497297,-0.05469706310930193,-0.2886692423339004,0.09406671023981046,0.1014298373048036,0.27516255900531494,0.6108652381980153,0.2697153692163331,17.63583634612533,17.95,17.029482135739563,0.0016403927672835213
12,12.0,13.290751182393015,13.28874057128584,2.777419891673783,2.777093809549786,16.790751182393027,15.32619359364032,2.777419891673783,5.622930273877732,9.790751182392988,11.251287548931357,2.777419891673783,-0.06874265477816,0.7147761653932699,0.9494511622627744,1.0418741735147876,1.0420764816596275,1.040451187540092,1.0006873210305258,-0.054434545865050074,-0.2907718678910621,0.09365263399404349,0.1005500095114371,0.27171927842872945,0.6108652381980153,0.2809687404242129,17.252547392365116,17.95,16.812451956437204,0.002036881581212288
13,13.0,14.071198848958472,14.069872724381826,3.446260094836346,3.444764458990748,17.571198848958474,15.813063722911656,3.446260094836346,6.479774367153251,10.571198848958446,12.326681725851994,3.446260094836346,0.4097545508282438,0.8080294001080826,1.0494424861411156,1.014801934771479,1.0158163579225978,1.0133654498006184,0.97328538275723,-0.053976216672969354,-0.2908581041233742,0.0930808280495121,0.0994616513340785,0.2775660528985252,0.6108652381980153,0.28682832058768404,16.97435404876163,17.95,16.627048331130194,0.001998882931895731
14,14.0,14.76858125133768,14.767997662800036,4.165147220671335,4.163485668661888,18.26858125133769,16.202947354360983,4.165147220671335,7.355807610867772,11.268581251337654,13.33304797123909,4.165147220671335,0.9711637264560044,0.9012451952979836,1.1483580238636777,0.9892929107878881,0.9907400029427321,0.9878255382863087,0.947475236477868,-0.053862503140279475,-0.2895797466884946,0.0934393306003894,0.0983918430172494,0.2834209225274536,0.6108652381980153,0.2852769908727407,16.75481497190105,17.95,16.448627363108095,0.0017610595280584359
15,15.0,15.381305512473814,15.381190937598207,4.925941116542576,4.924838939757722,18.881305512473816,16.497512501036738,4.925941116542576,8.242040496341547,11.881305512473787,14.264869374159677,4.925941116542576,1.6076373831738966,0.9947514287302844,1.2461759442242106,0.9654020985763326,0.9669323757935914,0.963914884679346,0.9232498487219836,-0.05356591294088104,-0.2873463697224545,0.09346576255828593,0.0972693711132081,0.28459418141345744,0.6108652381980153,0.2858016504229862,16.561267501673054,17.95,16.269457318683042,0.0011081159989788515
16,16.0,15.908384942057804,15.90853518889454,5.720925678878234,5.720468240530635,19.408384942057793,16.699414852147655,5.720925678878234,9.129941712821136,12.408384942057777,15.117655525641428,5.720925678878234,2.3109947682401346,1.08802813050313,1.342862147741104,0.9432486810077332,0.9445133458444863,0.941754817714151,0.9006466407055889,-0.05306540808299239,-0.2845014746255001,0.09305254384203618,0.0961507750890126,0.2853574473378507,0.6108652381980153,0.28798322782365054,16.37680830039374,17.95,16.092033550898304,0.00048148100045919656
17,17.0,16.34982054020044,16.35003811598777,6.542331682998725,6.54233171939523,19.84982054020042,16.811719602940816,6.542331682998725,10.011748126315108,12.84982054020041,15.88835662903472,6.542331682998725,3.0729153124753545,1.180856835472138,1.4385017681544328,0.9226755374855735,0.9236198890907239,0.9211771445322838,0.8797265640433003,-0.05256249485745257,-0.2813447565541787,0.09262558394557145,0.0951698474756617,0.28701725717194393,0.6108652381980153,0.2890759637383244,16.196796325946472,17.95,15.922854168320045,0.00021757579037241196
