time,xc,xc_ref,yc,yc_ref,x1,x1_ref,y1,y1_ref,x2,x2_ref,y2,y2_ref,psi,psi_ref,U,U_ref,u,u_ref,v,v_ref,r,r_ref,delta,delta_ref,delta_in,npm,npm_ref,npm_in,error
0.0,53.46146,53.46146,-4.91094,-4.91094,52.78647,52.78647,-4.89329,-4.89329,54.13645,54.13645,-4.92859,-4.92859,178.5021405963194,178.5021405963194,0.008170679286357603,0.008170679286357603,0.003197635871732,0.003197635871732,-0.0075189842952573,-0.0075189842952573,-0.0023532237923168,-0.0023532237923168,0.2899999999999968,0.2899999999999968,0.7853981590889927,20.6,20.6,7.491026427200062,0.0
1.0,53.42288895347217,53.46207,-4.89292906206324,-4.912335000000001,52.747898953472166,52.78666,-4.875279062063241,-4.89368,54.09787895347217,54.13748,-4.91057906206324,-4.93099,179.74408373785147,178.41787789718506,0.06647208747190199,0.004386342439883936,0.06048293211446747,-0.0019097527251124,-0.02757450517613887,0.0039487775993151,0.05041133051225711,-0.0026219498365248,28.552110024746387,0.4999999999999972,-0.0735592800414901,12.313548300793398,20.6,16.321353163119735,0.04372350436803236
2.0,53.3452713963673,53.459465,-4.86708905344344,-4.905665,52.6702813963673,52.78378,-4.84943905344344,-4.88598,54.0202613963673,54.13515,-4.88473905344344,-4.92535,183.4686915225886,178.3312512668003,0.10029945057059142,0.009178779875341228,0.09721662549125334,0.0039430475573844,-0.024676051403251322,-0.0082886896407197,0.0690041728721845,-0.0003000550164777,7.839575994549345,0.6999999999999996,-0.7853981392426505,14.846964154748836,20.6,31.845406298266475,0.12053332635979427
3.0,53.206568368663234,53.463705,-4.874811964608638,-4.90283,52.53157836866323,52.79219,-4.857161964608638,-4.88008,53.881558368663235,54.13522,-4.892461964608637,-4.92558,184.87299493328547,178.05964031619737,0.19533815340859254,9.999999988961009e-05,0.19263461781250515,9.994266120623182e-05,0.03238669784508608,3.3859192161630736e-06,-0.05919225065798534,-5.039355706059032e-06,-25.561405414753,0.9499999999999983,0.3552974152054431,25.59202889471055,20.6,45.23309207633808,0.25865857318559954
4.0,52.91639120750952,53.435475,-4.927421071071445,-4.896895000000001,52.24140120750952,52.75996,-4.909771071071445,-4.87324,53.59138120750952,54.11099,-4.945071071071444,-4.92055,179.0014933940636,177.99445151659395,0.4275254735762618,0.3226717372189612,0.4267496537182803,0.3225746238058521,0.025744195616386686,-0.0079159381260431,-0.06783567602618852,0.0333742311704922,3.464589443605006,0.9899999999999965,-0.018846686944085363,38.00754872411973,20.6,47.72641926088988,0.5199806002548127
5.0,52.30488240990253,52.54662,-4.911626435666827,-4.86938,51.62989240990253,51.85563,-4.893976435666827,-4.84531,52.97987240990253,53.23761,-4.929276435666827,-4.89345,178.24237931557235,178.00496098516462,0.810077562903233,1.4215052761066402,0.8100503495682357,1.4211406756473717,-0.006639961115877778,0.0321936332144684,0.009715998165470913,0.0337378989916471,0.5919649336918561,1.2499999999999991,-0.01087272798444472,44.151046597598125,20.6,40.87825177238728,0.24540135246709885
6.0,51.309367061295376,51.199785,-4.880209782107131,-4.838045,50.634377061295375,50.50537,-4.862559782107131,-4.81754,51.98435706129538,51.8942,-4.897859782107131,-4.85855,178.62151942937552,178.30863579366903,1.1649247145026045,1.3512533589224585,1.164921891153789,1.3512445292078723,-0.002564755281565385,0.004884903788408,0.0016407401903909067,-0.0057373396215419,-0.17601499325735218,0.7499999999999959,-0.25954482964574194,42.082245709233405,20.6,31.963914742478288,0.11741421126884784
7.0,50.026160114755534,49.86468,-4.851601260478999,-4.7972,49.35117011475553,49.1737,-4.833951260478999,-4.78104,50.701150114755535,50.55566,-4.869251260478999,-4.81336,176.42364801863872,178.66026362016623,1.3732823312976905,1.4257953289301954,1.3726318171831935,1.4257620742416164,0.04226412084479715,0.0097379491376477,-0.08507377107085581,-0.0072426047317081,-9.464905450631221,-0.15999999999999845,0.7853981263739477,35.686240685708626,20.6,25.813532722262245,0.17039754870057347
8.0,48.61407821800264,48.502855,-4.741394810425004,-4.777955,47.93908821800264,47.8082,-4.723744810425004,-4.76818,49.28906821800264,49.19751,-4.759044810425004,-4.78773,176.71937224803753,179.19380227277534,1.4332413409002545,1.4482402701205774,1.4320929038480836,1.4482085992593787,-0.05736423984960543,0.0095777361684086,0.12751976931226974,-0.0194932689101312,24.963479673899812,-0.9699999999999945,-0.2982595719172793,29.445499011529478,20.6,23.466749403538707,0.11707797267045154
9.0,47.190845606035616,47.143895,-4.694250461321902,-4.757325,46.515855606035615,46.44858,-4.676600461321902,-4.75145,47.86583560603562,47.83921,-4.7119004613219015,-4.7632,183.60152103288604,179.51589611263606,1.4215599321672716,1.462340907585853,1.4210283376636976,1.4619762908865508,-0.03887292502714426,0.0326535585291876,0.06036461448515195,-0.0206162717262567,-1.6187665438574756,-1.5699999999999956,-0.7783641741503634,25.666208469253178,20.6,23.142894723806652,0.07863050830667721
10.0,45.78254469351196,45.79093,-4.789101565567016,-4.754645,45.10755469351196,45.09473,-4.771451565567016,-4.75001,46.45753469351196,46.48713,-4.806751565567016,-4.75928,181.60833598420007,179.6185549920036,1.388397974587062,1.2575205207070888,1.3872524186385085,1.2566091778154158,0.05638849899638319,0.0478668385157461,-0.12524467417638654,-0.0404717376463367,-28.78618016731686,-1.5399999999999956,0.7853968767431722,24.07116997515914,20.6,23.748132476798734,0.03546220911861678
11.0,44.41418111228697,44.4223,-4.796110908378624,-4.7504,43.73919111228697,43.72469,-4.778460908378625,-4.74197,45.08917111228697,45.11991,-4.813760908378624,-4.75883,176.75640009778635,179.30766486571878,1.3582677349424241,1.132520419241675,1.3582655719577372,1.13213816768537,0.0024240090644065773,-0.0294222580600564,0.013190103342097442,-0.0275593382703335,17.855534669722132,-0.8599999999999981,-0.23080985898857986,23.866971331191856,20.6,24.556320436876803,0.046426323163651625
12.0,43.06141413595127,43.06704,-4.731683104602997,-4.742795,42.386424135951266,42.37808,-4.714033104602997,-4.72954,43.73640413595127,43.756,-4.7493331046029965,-4.75605,179.17461678224495,178.89781427738487,1.3544682674791062,1.3817322642246317,1.3544041266950226,1.3817272502354605,-0.013181395955829366,-0.0037223589403284,0.025193758677570174,-0.060815917547416,-1.7907504640799414,0.3699999999999989,-0.08155497471645122,24.302723073083104,20.6,24.855389197170883,0.012454901268526865
13.0,41.7040305914396,41.70046,-4.714949675308382,-4.722785,41.02904059143959,41.01441,-4.697299675308383,-4.69894,42.37902059143959,42.38651,-4.732599675308382,-4.74663,179.14773461341332,178.00937524958985,1.3609742522090613,1.310308246176929,1.3609542686761837,1.3101645954862702,0.00737521173168625,-0.0194018744856728,-0.017561445250141274,0.0277645460418466,-3.612525325346678,1.7899999999999945,-0.009809984310450055,24.652074693525368,20.6,24.71426581117384,0.00861054215782029
14.0,40.339761672456675,40.33628,-4.6910005115536695,-4.691554999999999,39.664771672456666,39.6543,-4.67335051155367,-4.66027,41.01475167245667,41.01826,-4.708650511553669,-4.72284,178.0008993799512,177.37346745180582,1.3679770720588031,1.4135568258825355,1.367937510456001,1.413213091538563,0.010403709243048724,-0.0311714276722426,-0.017966899811538067,0.1269089518429456,-1.6842702449793405,3.119999999999995,0.0042999581093080734,24.69138697750015,20.6,24.390333123745577,0.0035255496780877333
15.0,38.969744789854055,38.96086,-4.641568268541225,-4.64049,38.294754789854046,38.27375,-4.6239182685412255,-4.60556,39.64473478985405,39.64797,-4.659218268541225,-4.67542,177.24784446491847,177.0898106306034,1.3734783713338743,1.4320422130646129,1.3734637445485587,1.4320312549765617,0.006338685400278763,-0.0056022111034497,-0.008386768365306253,0.01557538142516,-0.4638732124798234,4.22,-0.008027661144196811,24.501084649019223,20.6,24.092943988806688,0.008949980659072133
16.0,37.596236951296184,37.59059,-4.575888569305881,-4.57499,36.921246951296176,36.90233,-4.558238569305881,-4.53482,38.27122695129618,38.27885,-4.59353856930588,-4.61516,176.90661949551176,176.65974571244476,1.376186899204806,1.4452851690926185,1.3761815062840448,1.4452377094744595,0.0038527009638343866,-0.0117125194598284,-0.004620411223423609,0.0580511494058512,-0.4613939664177518,4.599999999999997,0.015771534389851363,24.243090549132933,20.6,23.928710522236923,0.005717996654332842
17.0,36.221756235927614,36.22025,-4.501843944728205,-4.501905000000001,35.546766235927606,35.52844,-4.484193944728205,-4.46619,36.89674623592761,36.91206,-4.519493944728205,-4.53762,176.76718378616516,177.04470342094646,1.3764340370474801,1.4032267101217255,1.3764337556837516,1.3989225516971016,0.0008800892832324205,-0.1098221032047351,0.00026584964951071455,-0.0284406132871974,0.40147354733256185,4.119999999999996,0.05635791481050002,24.04436447310843,20.6,23.92183158114614,0.0015074728574174323
18.0,34.84797450759804,34.84549,-4.4246217411058275,-4.424625000000001,34.17298450759803,34.15134,-4.406971741105828,-4.39559,35.52296450759803,35.53964,-4.442271741105827,-4.45366,177.07908706484108,177.6048206040133,1.3752914720229417,1.220349478632711,1.3752806851057406,1.2199321914175345,-0.0054470353509532545,0.031910787241017,0.011340926260461084,-0.0745337139238086,2.188855809581047,2.869999999999997,0.026978012939169516,23.9669089131942,20.6,24.04679713234841,0.0024845097353630987
19.0,33.47507366813037,33.469350000000006,-4.356339804867033,-4.356785,32.80008366813036,32.77342,-4.338689804867033,-4.33575,34.150063668130365,34.16528,-4.3739898048670325,-4.37782,177.86877370658257,178.26871970415525,1.374032613206229,1.2082574973902942,1.374006880732674,1.208257481447106,-0.008409152966041078,-0.0001962828388981,0.014449381273974557,-0.0990668304840399,1.782320415699608,1.4499999999999955,0.0003151875934877018,24.01740789854668,20.6,24.222981732500866,0.005740955980755601
20.0,32.102080131236754,32.10663,-4.306575166529961,-4.306760000000001,31.42709013123673,31.41885,-4.288925166529961,-4.29434,32.77707013123675,32.79441,-4.324225166529961,-4.31918,178.56087652865156,178.96545952851352,1.3740546971875354,1.3034188313811015,1.3740403181528242,1.303405322918585,-0.0062860920781717495,0.0059341542258082,0.00889923864836778,-0.0548968926220591,0.6670944587976549,0.009999999999998113,0.01337196006313871,24.14735534460072,20.6,24.325594376292415,0.004553621544928184
