,time,u,v,r
0,0.0,1.17248,0.0,0.0
1,1.0004001600640255,1.1832619770729882,-0.03120375686907568,0.02566250169849149
2,2.000800320128051,1.1918056568027726,-0.0683750169956354,0.0457803156214188
3,3.0012004801920766,1.1955849171847384,-0.1083894453324884,0.06216356119195007
4,4.001600640256102,1.1927953184456432,-0.14826345868424726,0.07536098920253127
5,5.002000800320127,1.1828161604215672,-0.1851402667827144,0.08565376251700008
6,6.002400960384153,1.1659962813485312,-0.21691728192428422,0.09306910466794113
7,7.002801120448179,1.1434920984971917,-0.2424936514371229,0.09779861650948868
8,8.003201280512204,1.1171845524298414,-0.26166750359300556,0.10064857556887248
9,9.00360144057623,1.0884828794055599,-0.27511811379646883,0.10183278525668125
10,10.004001600640255,1.0587773695863545,-0.28376592785040444,0.10185638735751547
11,11.004401760704281,1.029347436497297,-0.2886692423339004,0.10142983730480362
12,12.004801920768307,1.0006873210305258,-0.29077186789106213,0.10055000951143712
13,13.005202080832332,0.97328538275723,-0.2908581041233742,0.0994616513340785
14,14.005602240896359,0.9474752364778681,-0.2895797466884946,0.09839184301724946
15,15.006002400960384,0.9232498487219835,-0.28734636972245453,0.09726937111320814
16,16.00640256102441,0.9006466407055889,-0.28450147462550013,0.09615077508901268
17,17.006802721088434,0.8797265640433003,-0.28134475655417873,0.09516984747566172
18,18.00720288115246,0.8603595109084834,-0.27801313045246906,0.09425837058947294
19,19.007603041216484,0.8424222463584442,-0.2745938857258556,0.093375122412488
20,20.00800320128051,0.825848474358531,-0.2711897417147506,0.09254874700802872
21,21.008403361344538,0.8106045964906907,-0.26790510082389424,0.09184746587867276
22,22.008803521408563,0.7965616332054265,-0.26475148793546877,0.09122315914652455
23,23.009203681472588,0.7835944236751492,-0.2617157987355829,0.09062964928279474
24,24.009603841536613,0.7716129449297218,-0.2588049646426368,0.09005667191949232
25,25.010004001600638,0.7605596724326897,-0.256045278168194,0.08952648597720674
26,26.010404161664663,0.7504063218422735,-0.2534799870488287,0.08909076054516324
27,27.01080432172869,0.741080204237556,-0.25110587350285507,0.08874339373795723
28,28.011204481792717,0.7324698656725219,-0.2488721535426484,0.08841382522283656
29,29.011604641856742,0.7244919960020004,-0.24674832821902715,0.08806291799937131
30,30.012004801920767,0.7170928867565243,-0.24472715965472047,0.08768773746565894
31,31.012404961984792,0.7102484311423296,-0.24282467104436833,0.08732155141832428
32,32.01280512204882,0.7039641240413559,-0.2410801466545215,0.08703383005251948
33,33.01320528211284,0.6982357406062536,-0.23952101117923924,0.08687660955723168
34,34.01360544217687,0.6929517973417193,-0.23807443862008643,0.08674144919871024
35,35.01400560224089,0.6880328185395731,-0.2366928152815753,0.0865568329814868
36,36.01440576230492,0.6834423147364909,-0.23536498193871225,0.08631391778923167
37,37.01480592236894,0.679185851366523,-0.23411541844528116,0.08606538800461178
38,38.01520608243297,0.6753084658084592,-0.23300205444152572,0.08592152534005532
39,39.01560624249699,0.6717767022657711,-0.23201340586753913,0.08586871423399842
40,40.01600640256102,0.6684971898778612,-0.23108038045301202,0.0857953889526557
41,41.01640656262505,0.6654238520804513,-0.23017438734961446,0.0856607462030311
42,42.016806722689076,0.6625476964157448,-0.2292999289566715,0.08548012752102173
43,43.0172068827531,0.6598968145324267,-0.22849460092116322,0.08532501927141786
44,44.017607042817126,0.6575158475473485,-0.2278108840389395,0.08529116746166267
45,45.01800720288115,0.6553391468756575,-0.2271996196734205,0.0852989612826842
46,46.018407362945176,0.6532965799773336,-0.22660381923950407,0.0852580614866833
47,47.0188075230092,0.6513582052381325,-0.22600357369802024,0.08514049795250254
48,48.019207683073226,0.649531895655486,-0.22541417363795152,0.0849771360689486
49,49.01960784313725,0.6478633388385018,-0.22488610927643288,0.08485767673479223
50,50.020008003201276,0.6464077186232665,-0.22447912704097378,0.08488611791135772
51,51.0204081632653,0.6450873095713552,-0.2241270571578001,0.08495383754036623
52,52.02080832332933,0.6438237477300244,-0.2237597187018777,0.08494827905558591
53,53.02120848339335,0.6425888472572833,-0.22335486588727596,0.08483637201942104
54,54.02160864345738,0.6414030865573507,-0.22293696115054282,0.08466225367101775
55,55.0220088035214,0.6403356082806541,-0.22257717515070463,0.08454726892626406
56,56.022408963585434,0.6394588686792858,-0.22235037182862558,0.08461776139264464
57,57.02280912364946,0.6386685339595564,-0.22216099009055215,0.08471635072675852
58,58.023209283713484,0.6378851680941262,-0.22193476020761704,0.08472340526656863
59,59.02360944377751,0.6370891381137054,-0.22165536897929913,0.08461478926097092
60,60.024009603841534,0.6363173346297543,-0.221361447801313,0.08445670078831487
61,61.02440976390556,0.6356631007581435,-0.2211465044835049,0.08440555826771654
62,62.024809923969585,0.6351460865573154,-0.22103323036945774,0.0844996264719441
63,63.02521008403361,0.6346539291947408,-0.2209151797150719,0.08456436093885028
64,64.02561024409763,0.6341459842649398,-0.22075458046281754,0.08453940377690619
65,65.02601040416167,0.6336284961106897,-0.22055925547050043,0.08443944799718082
66,66.02641056422569,0.6331545978230249,-0.22038262251126212,0.08435423751334108
67,67.02681072428972,0.6327929240671418,-0.22029339833651834,0.08439830283364252
68,68.02721088435374,0.6324741425450348,-0.22022640585912837,0.08446445238282245
69,69.02761104441777,0.6321489053144055,-0.2201348241205307,0.08447666198787908
70,70.02801120448179,0.6318070394061744,-0.22000991760616667,0.08442171145177542
71,71.02841136454582,0.6314722250475481,-0.21987595174622587,0.08434070026435622
72,72.02881152460984,0.6312012208877489,-0.21978944995341343,0.08432780867850434
73,73.02921168467387,0.6310009670706961,-0.21975884557161432,0.08439716869328179
