sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.07790735286982975,0.05024356691876774,0.07174882434465123,0.030943839054102196,-0.0799715276934691,0.04657534241907739,-0.04980850510529858,0.2277363024976927,-0.49941213860558104,0.195882427064987,-3.1599510832385995,-0.19955766373122996,-0.5181092516554193,0.033093428299399374,-0.05264255721521771,-0.050194225365484964,0.25237634264754916,-0.4160188850192015,-0.16352054476077296,-0.026221443979342854
0.07637407575444602,0.05022393280043396,0.07182482698818474,0.03158294404712641,-0.04003912321030336,0.04884185940123548,-0.04994422215782811,0.35252524561842113,-0.48211482708904474,0.19824404034816026,-5.733965845150956,0.497322480007667,-0.5134613325004989,0.019311841470432883,-0.14572323405361018,-0.07245010929416387,0.2139415506898369,-0.3776345375857013,-0.17305370673422932,-0.024097821904532156
0.07661348005687041,0.05018117234405426,0.07054880297031224,0.02932421017497442,-0.08161977640500058,0.04438598553670442,-0.04950206815973212,0.2630521132972183,-0.4710292741910022,0.1905649625530055,-0.9934105588514184,0.761100864114221,-0.5366071748440779,0.023092015695956536,-0.13398895362967994,-0.06887481152706959,-0.20924849312584765,-0.19388999756880487,-0.07038472085336372,-0.016096916744030423
0.0767091506647814,0.05005353720468451,0.0705140931783516,0.02992070384404397,-0.07766517047748067,0.04662550490818919,-0.0497611228682517,0.2371950559863451,-0.4809565159463264,0.19636407370298256,-2.746568584596187,0.8541882857432035,-0.5129304867081839,0.022441885148561214,-0.12236127379197705,-0.0609816618479307,-0.11924951856716653,-0.23493271454951503,-0.025633993161929436,-0.013018720279676668
0.07615030812585993,0.04915619059396559,0.0720762672386626,0.030468556688232305,-0.0627571987769156,0.04745418380018343,-0.049706130190496495,0.2855052207684905,-0.4947623555632786,0.199537070866085,-0.9800021555812073,0.9011247413540064,-0.37192300619308205,0.03705606069519765,-0.17475417025928974,-0.08291121323920736,0.23494134890191498,-0.04197795150132233,-0.10316966606566705,-0.016674635183087323
0.07693391182645129,0.04986723042620302,0.07106752365964952,0.031372872462306765,-0.08732867670733384,0.04948957444630096,-0.04998304236305509,0.7907115113095697,-0.48410886159467154,0.19587318020078062,-5.0718707817061714,0.4409999700384031,-0.6125103140275987,0.014839103956383104,-0.12701686591305417,-0.07789451259470553,-0.18603304927894249,-0.018164428366145402,-0.11097446080884674,-0.01950349218255011
0.07712882716023672,0.050524359968407866,0.07135499123580373,0.03136626906588505,-0.08574542534382426,0.04925129031612016,-0.04998105389347821,0.6243049705540988,-0.477416571548123,0.19397219082961628,-5.422574199656393,0.5036498464894525,-0.5140803137287973,0.02739546635930104,-0.14533621465060687,-0.07377136633904044,-0.11974559722315797,-0.018542737710376178,-0.12347783097251613,-0.024232056697309143
0.07658405887518198,0.05084176523826325,0.06865524630187357,0.02871501111744011,-0.08521540391805431,0.049176161724440934,-0.04996915762818808,0.2793128468098856,-0.4892834721444715,0.1998257243790422,-3.8753401643800056,0.002363124705108355,-0.4803692068285217,0.03273055116899187,-0.12038117382097918,-0.07264197834652872,0.24841013430332193,-0.11537165578317554,-0.2557791498703102,-0.03781396828875791
0.07643306872684985,0.05065984145492193,0.06938083013262471,0.0280078069188489,-0.08595550587972539,0.04861185428937313,-0.0499739281509733,0.386461388004777,-0.49281848055895294,0.19963606831205125,-4.166087922203207,0.2836521843689006,-0.44137608145986285,0.03259569548935998,-0.15128910388016684,-0.07616575935707862,0.20967419928363473,-0.23122272609180183,-0.2559037312020602,-0.03430411997085207
0.07723308022137967,0.048031365414030296,0.07541970153478318,0.03076371475103973,-0.07043588497806305,0.04924531343965145,-0.0496403543439687,0.38610417139738995,-0.49762656778380937,0.1978163676481222,-4.255029143671426,-0.2845918772884817,-0.6205003186955915,0.02155514107490511,-0.00463485821983331,-0.043928325111196966,-0.3651227546323056,-0.6492469125402326,-0.24634655901530922,-0.033420793446207075
0.07710080600510331,0.05044215810503336,0.07062738064770449,0.03146999220528069,0.0045840700109488625,0.048904990648160174,-0.0498950372558212,0.2566161951472777,-0.49010390734144305,0.1956678454208601,-4.66541162807308,0.5544967102744374,-0.3903599344246813,0.03723296872951262,-0.10069737072752914,-0.05901552320483099,0.3195456866021633,-0.6204152496334078,-0.21200755525741835,-0.02744310706319463
0.07613171397065599,0.0485026559212674,0.07474668252153159,0.0319388361451394,0.008685444021931499,0.04855224150167732,-0.04984244723128634,0.8389702070291045,-0.48801301451053847,0.19837677451590494,-3.641031592689038,-0.3712400722656759,-0.6402338856577962,0.0196353333838713,-0.018845179856136457,-0.041746052310571484,-0.41837660763570117,-0.7122239917169058,-0.15221172595508406,-0.02249123847147031
0.07677349088415353,0.04862525246350116,0.07295555987640977,0.03066687546034486,0.009186661232378032,0.04843276374549131,-0.04985147611190874,0.7675948370391452,-0.4828885817066986,0.19841511885614363,-0.8829197975808745,-0.09897754622931298,-0.7011477344217343,0.013012957295140182,-0.021575028186171186,-0.044523854229603727,-0.10826936811390275,-0.7899526394590994,-0.22891152873858664,-0.028928169454638206
0.07761126222993653,0.05019815299354118,0.07381343074408407,0.03485181491785461,0.0038031062278781613,0.04818911560106284,-0.0498381406239755,0.24021502865457067,-0.48971757468394567,0.19300016607093176,-5.27307128498508,0.5410026146258358,-0.4959794549457526,0.026665511072601095,-0.0854899180355901,-0.0649665783745092,0.12136291163924229,-0.311059789322114,-0.23040123032867715,-0.03198990159035618
0.07724876962588137,0.05116104228935824,0.07323223245158662,0.031037725052176075,-0.0031370459082908225,0.04937244620279489,-0.04987169486784935,0.32487813701665,-0.4769830995711861,0.1991964821883855,-4.291508694356292,0.32289042508538035,-0.5279205150121086,0.02233679268345498,-0.02497802456304571,-0.050870062785000114,-0.38793663242238685,-0.7476503434291185,-0.27471047011059446,-0.033539129952506394
0.07597441179581142,0.04858707041998053,0.07135134120333014,0.027723036218793524,-0.08986757215932499,0.04818375713274836,-0.04989293406683422,0.3587555047118335,-0.49830024201953294,0.1944117841233399,-4.521685709035147,-2.008366374179922,-0.9231645232401529,0.008633077098252673,-0.02104171609242561,-0.04292778351709867,0.2756706593172269,-0.13222104282851077,-0.08984441120578288,-0.022649066071197314
0.07586895196897425,0.04855016448806833,0.07176340274718235,0.02701265719174631,-0.08981847747092385,0.04790386313623604,-0.04985434667310208,0.31601604381516374,-0.49744599216940993,0.1958852387281215,-4.90161177257291,-1.9170682023048098,-0.8980233320152813,0.008681422737955274,-0.02246514783961298,-0.04234183731640328,0.3054668345565479,-0.11948210702902584,-0.07328255985099263,-0.02048300523214526
0.07713738408412966,0.0480360098729946,0.07161957664691755,0.02822556610048735,-0.08981533938562136,0.045827243012851945,-0.049844671375165905,0.5158666011198878,-0.49849116796995896,0.19724202607899763,-3.494985526756626,-1.4805641728478869,-0.8345910577702716,0.012196997567638312,-0.0256408471564675,-0.04614001289638642,0.1220433753300344,-0.10849725523154097,-0.09782349277881372,-0.022645567320857637
0.07584275777640455,0.050121480930179145,0.07325276085294612,0.0295939009542773,-0.014763028077130758,0.04989925563544802,-0.049893361413146375,0.30757703634976313,-0.4915375139400243,0.19835907942983153,-5.655169616775452,-0.87396888590708,-0.6256750975134537,0.024448870765119007,-0.11145054385350917,-0.06001442440751959,-0.10281591571542609,-0.9782376587164133,-0.2641208888150355,-0.029315567754269245
