time,xc,xc_ref,yc,yc_ref,x1,x1_ref,y1,y1_ref,x2,x2_ref,y2,y2_ref,psi,psi_ref,U,U_ref,u,u_ref,v,v_ref,r,r_ref,delta,delta_ref,delta_in,npm,npm_ref,npm_in,error
0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,-3.5,-3.5,0.0,0.0,0.0,0.0,1.17248,1.17248,1.17248,1.17248,0.0,0.0,0.0,0.0,35.0,35.0,0.42123106711728003,17.95,17.95,21.86987729492312,0.0
1.0,1.181246783861772,1.1790322526328771,-0.0076601277618175215,-0.0112004481383365,4.681246783861771,4.678654574074495,-0.0076601277618175215,0.0402155733684014,-2.318753216138231,-2.3205900688087406,-0.0076601277618175215,-0.0626164696450745,0.7305566676877571,0.8417219997817427,1.1924268319795472,1.183673342113195,1.1921160523625944,1.1832619770729882,-0.027222551757749205,-0.0312037568690756,0.02479561386266438,0.0256625016984914,28.13185989679972,35.0,0.7853980844535903,20.427835028119524,17.95,16.784118878453008,0.004175885167499922
2.0,2.382945802305434,2.3688158090011147,-0.017307837610159513,-0.0270938347585173,5.882945802305434,5.864121860287876,-0.017307837610159513,0.1541121470360812,-1.1170541976945687,-1.126490242285647,-0.017307837610159513,-0.2082998165531159,2.7579927702696305,2.9677090912588957,1.2081929096891304,1.1937654152036075,1.2065989639349328,1.1918056568027726,-0.062040690310743406,-0.0683750169956354,0.04519201138939247,0.0457803156214188,38.79455515093695,35.0,0.7853980923486871,18.124567146966037,17.95,15.16315032460858,0.017187857660795745
3.0,3.593014334700047,3.567098928716857,-0.008794123438199682,-0.0272984638852396,7.0930143347000465,7.047127121094904,-0.008794123438199682,0.3460696925689306,0.09301433470004283,0.0870707363388101,-0.008794123438199682,-0.40066662033941,5.796454439984119,6.1237721997805625,1.2102016379370013,1.2004880532763007,1.206198979044321,1.1955849171847384,-0.09834646621937401,-0.1083894453324884,0.05993240781588249,0.06216356119195,42.717141816038016,35.0,0.7853981342464094,16.25259470338631,17.95,15.197349057867418,0.03184366314753254
4.0,4.79966556078048,4.768825502398787,0.03578487513740391,0.0068511610222082,8.29966556078048,8.214399080570526,0.03578487513740391,0.6216866816330416,1.2996655607804768,1.3232519242270475,0.03578487513740391,-0.6079843595886253,9.552600607247571,10.117492684791243,1.2037957014582619,1.2019745109139623,1.196426758644439,1.1927953184456432,-0.13299286465427332,-0.1482634586842472,0.07073128144188866,0.0753609892025312,44.16018236509358,35.0,0.7853980196855943,15.585552229827737,17.95,15.909837542227637,0.04228792987941234
5.0,5.994247143913878,5.966047121317333,0.12987664273479402,0.0920657015857622,9.494247143913872,9.350324485824927,0.12987664273479402,0.9846275874410376,2.494247143913872,2.581769756809738,0.12987664273479402,-0.8004961842695133,13.869507229884716,14.774632875247672,1.192296002432124,1.1972180201361795,1.1807749820913587,1.1828161604215672,-0.1653487196284724,-0.1851402667827144,0.07975427922410594,0.085653762517,44.69104312127379,35.0,0.7853979312772147,15.790539630528299,17.95,16.759479334670047,0.047168936229484766
6.0,7.16906885617977,7.1484022636386735,0.28394741371126403,0.2423326111888775,10.669068856179763,10.438747827179355,0.28394741371126403,1.4354906361328268,3.6690688561797624,3.858056700097991,0.28394741371126403,-0.9508254137550716,18.674028582238545,19.93185615283192,1.1772548965481067,1.186001869861942,1.1610010026480582,1.1659962813485312,-0.19495066887983958,-0.2169172819242842,0.08780065075308281,0.0930691046679411,44.88633271192439,35.0,0.7853980054971121,16.40302634628019,17.95,17.452848952573877,0.04646396276940801
7.0,8.315936257264843,8.30391406243842,0.5064831310020588,0.4676084640583906,11.81593625726484,11.46489311341552,0.5064831310020588,1.9703431177095,4.815936257264837,5.14293501146132,0.5064831310020588,-1.0351261895927186,23.91095688399548,25.42649156463343,1.1591951521201913,1.1689214474518037,1.1379171653403015,1.1434920984971917,-0.22108352612269996,-0.2424936514371229,0.09479992615024364,0.0977986165094886,44.95817841950477,35.0,0.7853968401441338,17.066640768643367,17.95,17.862747563692814,0.04069118944471403
8.0,9.425431704382794,9.420370211212,0.8038793840654009,0.773389012727717,12.92543170438279,12.41635875812986,0.8038793840654009,2.582823351612941,5.925431704382787,6.424381664294138,0.8038793840654009,-1.0360453261575069,29.509654953871994,31.129975986783826,1.13817324798259,1.1474193682453073,1.1119456318275247,1.1171845524298414,-0.24293055444493805,-0.2616675035930055,0.10036464158671853,0.1006485755688724,44.98456677465727,35.0,0.7756679990152449,17.569876235016036,17.95,17.97869242065853,0.030907627819485882
9.0,10.487011920620642,10.486257788706462,1.1797505470096716,1.1609740129233543,13.987011920620638,13.283550818523707,1.1797505470096716,3.264578468455777,6.987011920620642,7.688964758889218,1.1797505470096716,-0.9426304426090688,35.377028667445465,36.943690480988806,1.1143483601174435,1.1227132115094869,1.0836255129353876,1.08848287940556,-0.2598615312276014,-0.2751181137964688,0.10413551099265762,0.1018327852566812,44.641916880132996,35.0,0.6587704391591808,17.828297362194952,17.95,17.863041296358038,0.018791672284249206
10.0,11.490150561062277,11.491410054981142,1.6347655765153133,1.6278276144468649,14.990150561062274,14.060106765485656,1.6347655765153133,4.005178495037124,7.990150561062271,8.922713344476627,1.6347655765153133,-0.7495232661433944,41.39193530618926,42.78452516695088,1.0894323876978578,1.0961444339853215,1.0551594440617833,1.0587773695863545,-0.2711115544794876,-0.2837659278504044,0.10534798867038139,0.1018563873575154,40.282085978522204,35.0,0.607139801931487,17.850259716904347,17.95,17.611679247684517,0.007051357500147404
11.0,12.426035933923572,12.427689833274952,2.167135064910393,2.168805173218788,15.926035933923568,14.741748111247478,2.167135064910393,4.794663944391912,8.926035933923565,10.113631555302426,2.167135064910393,-0.457053597954336,47.401612192291125,48.61163647764217,1.0648771146920322,1.0690585000331763,1.0282626417419376,1.029347436497297,-0.2768378749245106,-0.2886692423339004,0.1041111187717368,0.1014298373048036,36.808243659145525,35.0,0.6179922745334802,17.699448100691914,17.95,17.32096036586017,0.0023504563017137034
12.0,13.287683274632588,13.28874057128584,2.7713417946187304,2.777093809549786,16.78768327463258,15.32619359364032,2.7713417946187304,5.622930273877732,9.787683274632581,11.251287548931357,2.7713417946187304,-0.06874265477816,53.305194497506285,54.39954445144767,1.0407160585548707,1.0420764816596275,1.002684858192082,1.0006873210305258,-0.27877049644162405,-0.2907718678910621,0.10192643741213363,0.1005500095114371,35.92334157543486,35.0,0.6598282507043675,17.460198234613294,17.95,17.065267039750484,0.005848380286888557
13.0,14.06999728991164,14.069872724381826,3.4386577928512234,3.444764458990748,17.569997289911633,15.813063722911656,3.4386577928512234,6.479774367153251,10.569997289911633,12.326681725851994,3.4386577928512234,0.4097545508282438,59.08965084004498,60.128625297602305,1.016533087827242,1.0158163579225978,0.977560624016533,0.97328538275723,-0.2787736447729486,-0.2908581041233742,0.10009758830999523,0.0994616513340785,37.11301286720468,35.0,0.6884191311420634,17.21055412306986,17.95,16.88592786545486,0.00610793646912208
14.0,14.769393151968977,14.767997662800036,4.158954599879587,4.163485668661888,18.269393151968956,16.202947354360983,4.158954599879587,7.355807610867772,11.26939315196897,13.33304797123909,4.158954599879587,0.9711637264560044,64.78647034073134,65.79606813737222,0.992136290552339,0.9907400029427321,0.9524618580293254,0.947475236477868,-0.2777603787984898,-0.2895797466884946,0.09883208609637788,0.0983918430172494,38.58616842198852,35.0,0.6844244389511356,17.005351201384585,17.95,16.792898044818337,0.0047410942123703005
15.0,15.383463720358897,15.381190937598207,4.9222674338624355,4.924838939757722,18.88346372035888,16.497512501036738,4.9222674338624355,8.242040496341547,11.88346372035889,14.264869374159677,4.9222674338624355,1.6076373831738966,70.4170409155735,71.40062213477755,0.9679874238396944,0.9669323757935914,0.9278440611083231,0.9232498487219836,-0.2758714392209213,-0.2873463697224545,0.09770467486019556,0.0972693711132081,38.98343299333907,35.0,0.6660408507470691,16.871055199139082,17.95,16.774894899275914,0.0034319359036526008
