u,v,r
0.003197635871732,-0.0075189842952573,-0.0023532237923168
-0.0019097527251124,0.0039487775993151,-0.0026219498365248
0.0039430475573844,-0.0082886896407197,-0.0003000550164777
9.994266120623182e-05,3.3859192161630736e-06,-5.039355706059032e-06
0.3225746238058521,-0.0079159381260431,0.0333742311704922
1.4211406756473717,0.0321936332144684,0.0337378989916471
1.3512445292078723,0.004884903788408,-0.0057373396215419
1.4257620742416164,0.0097379491376477,-0.0072426047317081
1.4482085992593787,0.0095777361684086,-0.0194932689101312
1.4619762908865508,0.0326535585291876,-0.0206162717262567
1.2566091778154158,0.0478668385157461,-0.0404717376463367
1.13213816768537,-0.0294222580600564,-0.0275593382703335
1.3817272502354605,-0.0037223589403284,-0.060815917547416
1.3101645954862702,-0.0194018744856728,0.0277645460418466
1.413213091538563,-0.0311714276722426,0.1269089518429456
1.4320312549765617,-0.0056022111034497,0.01557538142516
1.4452377094744595,-0.0117125194598284,0.0580511494058512
1.3989225516971016,-0.1098221032047351,-0.0284406132871974
1.2199321914175345,0.031910787241017,-0.0745337139238086
1.208257481447106,-0.0001962828388981,-0.0990668304840399
1.303405322918585,0.0059341542258082,-0.0548968926220591
1.3533994554405149,-0.1100271058084524,0.0882997877915835
1.4559578300460136,-0.0159162535419907,0.0087578144376079
1.4143978350896784,0.035399634076926,-0.0786064107191729
1.446948641874061,0.0273780528535142,-0.0025204799556005
1.4848801579048556,-0.0320296215938242,-0.0014806517332651
1.213710535853767,0.1033291108883322,-0.0412167247071066
1.2403081488459418,0.2331132684030548,-0.2397374815693341
1.10298736304337,0.2487566621543369,-0.2439735550193123
1.118395701547377,0.2666219322557137,-0.2119408237498417
1.1207319568646903,0.2926280418237694,-0.2242185675174491
0.95252885830233,0.2777333687204641,-0.2192990185595301
0.9224206624639208,0.3136122469854246,-0.2407921375046691
0.6950109805428766,0.2535445265128034,-0.2451912205517967
0.6671321706074836,0.3135150984247993,-0.294362357515667
0.6545807482676675,0.2875313617626841,-0.2194299569008995
0.6032502574363212,0.2330360849800555,-0.1608876481115773
0.5572138314057685,0.1542659913588594,-0.1262481073121925
0.5205495311321411,0.1789412072105401,-0.2214698391107868
0.4773247294888817,0.2630128563745321,-0.2152999716230595
0.4285024831368555,0.1936905571921705,-0.16688037899351
0.3723603092394096,0.2421181738387369,-0.1853246679800692
0.531493140174518,0.1607811616682236,-0.1647213163082359
0.3853066249647958,0.1702439565982419,-0.2187299292600888
0.3383934094719445,0.1944896923384734,-0.2114277999990673
0.3746455015843236,0.1845889437169634,-0.1521244348928495
0.4300917596848121,0.1904190595795279,-0.1793522411929063
0.3681830284245211,0.1880300709462638,-0.1845409784546061
0.3474451461435769,0.1783245367894696,-0.168601244130932
0.3676226769344223,0.1799783803780117,-0.13535800376721
0.3347290788202375,0.1951624292534448,-0.2816846715350766
0.3192666854565234,0.1663757300736753,-0.1278528438359958
0.3583552527784023,0.1585488972085796,-0.1692108987587441
0.3859678905843752,0.1822325915904194,-0.176557484211126
0.3703672884507633,0.1169213481173244,-0.062934163913665
0.3608795719829829,0.1308846229520882,-0.1397627718716292
0.3560186843345408,0.1822802688297329,-0.1810125393500815
0.3950823428043163,0.1441129501614378,-0.0913198754692748
0.3803224763964111,0.1892649834164554,-0.2052180365957201
0.3735918638146911,0.2270412281753003,-0.2318107113805828
0.4471259885324364,0.1401193433426497,-0.2246403336568048
0.3871811161335756,0.180570853986568,-0.2127638357505073
0.3307669697225189,0.1902758832340958,-0.191158980173257
0.3903864581577471,0.1853686955420476,-0.1787006504088621
0.3806685938642427,0.1864340678238061,-0.155496659067076
0.2763020408988606,0.1396392573563788,-0.1054594382522449
