,Unnamed: 0,time,npm,delta
0,0,0.0,17.95,0.6108652381980153
1,1,1.0004001600640255,17.95,0.6108652381980153
2,2,2.000800320128051,17.95,0.6108652381980153
3,3,3.0012004801920766,17.95,0.6108652381980153
4,4,4.001600640256102,17.95,0.6108652381980153
5,5,5.002000800320127,17.95,0.6108652381980153
6,6,6.002400960384153,17.95,0.6108652381980153
7,7,7.002801120448179,17.95,0.6108652381980153
8,8,8.003201280512204,17.95,0.6108652381980153
9,9,9.00360144057623,17.95,0.6108652381980153
10,10,10.004001600640256,17.95,0.6108652381980153
11,11,11.00440176070428,17.95,0.6108652381980153
12,12,12.004801920768308,17.95,0.6108652381980153
13,13,13.005202080832332,17.95,0.6108652381980153
14,14,14.00560224089636,17.95,0.6108652381980153
15,15,15.006002400960384,17.95,0.6108652381980153
16,16,16.00640256102441,17.95,0.6108652381980153
17,17,17.006802721088434,17.95,0.6108652381980153
18,18,18.00720288115246,17.95,0.6108652381980153
19,19,19.007603041216484,17.95,0.6108652381980153
20,20,20.00800320128051,17.95,0.6108652381980153
21,21,21.008403361344534,17.95,0.6108652381980153
22,22,22.008803521408563,17.95,0.6108652381980153
23,23,23.009203681472588,17.95,0.6108652381980153
24,24,24.009603841536613,17.95,0.6108652381980153
25,25,25.01000400160064,17.95,0.6108652381980153
26,26,26.010404161664663,17.95,0.6108652381980153
27,27,27.01080432172869,17.95,0.6108652381980153
28,28,28.01120448179272,17.95,0.6108652381980153
29,29,29.011604641856746,17.95,0.6108652381980153
30,30,30.012004801920767,17.95,0.6108652381980153
31,31,31.012404961984792,17.95,0.6108652381980153
32,32,32.01280512204882,17.95,0.6108652381980153
33,33,33.01320528211284,17.95,0.6108652381980153
34,34,34.01360544217687,17.95,0.6108652381980153
35,35,35.01400560224089,17.95,0.6108652381980153
36,36,36.01440576230492,17.95,0.6108652381980153
37,37,37.01480592236894,17.95,0.6108652381980153
38,38,38.01520608243297,17.95,0.6108652381980153
39,39,39.01560624249699,17.95,0.6108652381980153
40,40,40.01600640256102,17.95,0.6108652381980153
41,41,41.01640656262505,17.95,0.6108652381980153
42,42,42.01680672268908,17.95,0.6108652381980153
43,43,43.0172068827531,17.95,0.6108652381980153
44,44,44.017607042817126,17.95,0.6108652381980153
45,45,45.01800720288115,17.95,0.6108652381980153
46,46,46.018407362945176,17.95,0.6108652381980153
47,47,47.0188075230092,17.95,0.6108652381980153
48,48,48.019207683073226,17.95,0.6108652381980153
49,49,49.01960784313725,17.95,0.6108652381980153
50,50,50.02000800320128,17.95,0.6108652381980153
51,51,51.0204081632653,17.95,0.6108652381980153
52,52,52.02080832332933,17.95,0.6108652381980153
53,53,53.02120848339335,17.95,0.6108652381980153
54,54,54.02160864345738,17.95,0.6108652381980153
55,55,55.0220088035214,17.95,0.6108652381980153
56,56,56.02240896358544,17.95,0.6108652381980153
57,57,57.02280912364946,17.95,0.6108652381980153
58,58,58.02320928371349,17.95,0.6108652381980153
59,59,59.02360944377751,17.95,0.6108652381980153
60,60,60.024009603841534,17.95,0.6108652381980153
61,61,61.02440976390556,17.95,0.6108652381980153
62,62,62.02480992396959,17.95,0.6108652381980153
63,63,63.02521008403361,17.95,0.6108652381980153
64,64,64.02561024409763,17.95,0.6108652381980153
65,65,65.02601040416167,17.95,0.6108652381980153
66,66,66.02641056422569,17.95,0.6108652381980153
67,67,67.02681072428972,17.95,0.6108652381980153
68,68,68.02721088435374,17.95,0.6108652381980153
69,69,69.02761104441777,17.95,0.6108652381980153
70,70,70.02801120448179,17.95,0.6108652381980153
71,71,71.02841136454582,17.95,0.6108652381980153
72,72,72.02881152460984,17.95,0.6108652381980153
73,73,73.02921168467387,17.95,0.6108652381980153
74,74,74.02961184473789,17.95,0.6108652381980153
75,75,75.03001200480192,17.95,0.6108652381980153
76,76,76.03041216486594,17.95,0.6108652381980153
77,77,77.03081232492997,17.95,0.6108652381980153
78,78,78.03121248499399,17.95,0.6108652381980153
79,79,79.03161264505802,17.95,0.6108652381980153
80,80,80.03201280512204,17.95,0.6108652381980153
81,81,81.03241296518607,17.95,0.6108652381980153
82,82,82.0328131252501,17.95,0.6108652381980153
83,83,83.03321328531412,17.95,0.6108652381980153
84,84,84.03361344537815,17.95,0.6108652381980153
85,85,85.03401360544217,17.95,0.6108652381980153
86,86,86.0344137655062,17.95,0.6108652381980153
87,87,87.03481392557022,17.95,0.6108652381980153
88,88,88.03521408563425,17.95,0.6108652381980153
89,89,89.03561424569827,17.95,0.6108652381980153
90,90,90.0360144057623,17.95,0.6108652381980153
91,91,91.03641456582632,17.95,0.6108652381980153
92,92,92.03681472589037,17.95,0.6108652381980153
93,93,93.03721488595436,17.95,0.6108652381980153
94,94,94.0376150460184,17.95,0.6108652381980153
95,95,95.03801520608242,17.95,0.6108652381980153
96,96,96.03841536614644,17.95,0.6108652381980153
97,97,97.03881552621048,17.95,0.6108652381980153
98,98,98.0392156862745,17.95,0.6108652381980153
99,99,99.03961584633852,17.95,0.6108652381980153
